# Old Mojang name → New Mojang name (26.1 package reorganization)
# Format: OLD_CLASS	NEW_CLASS
net/minecraft/BlockUtil	net/minecraft/util/BlockUtil
net/minecraft/world/entity/monster/ZombieVillager	net/minecraft/world/entity/monster/zombie/ZombieVillager
net/minecraft/world/entity/monster/ZombifiedPiglin	net/minecraft/world/entity/monster/zombie/ZombifiedPiglin
net/minecraft/world/entity/npc/AbstractVillager	net/minecraft/world/entity/npc/villager/AbstractVillager
net/minecraft/world/entity/npc/Villager	net/minecraft/world/entity/npc/villager/Villager
net/minecraft/world/entity/npc/VillagerData	net/minecraft/world/entity/npc/villager/VillagerData
net/minecraft/world/entity/npc/VillagerDataHolder	net/minecraft/world/entity/npc/villager/VillagerDataHolder
net/minecraft/world/entity/npc/VillagerProfession	net/minecraft/world/entity/npc/villager/VillagerProfession
net/minecraft/world/entity/npc/VillagerTrades	net/minecraft/world/item/trading/VillagerTrades
net/minecraft/world/entity/npc/VillagerType	net/minecraft/world/entity/npc/villager/VillagerType
net/minecraft/world/entity/npc/WanderingTrader	net/minecraft/world/entity/npc/wanderingtrader/WanderingTrader
net/minecraft/world/entity/npc/WanderingTrader$WanderToPositionGoal	net/minecraft/world/entity/npc/wanderingtrader/WanderingTrader$WanderToPositionGoal
net/minecraft/world/entity/npc/WanderingTraderSpawner	net/minecraft/world/entity/npc/wanderingtrader/WanderingTraderSpawner
net/minecraft/world/entity/projectile/AbstractArrow	net/minecraft/world/entity/projectile/arrow/AbstractArrow
net/minecraft/world/entity/projectile/AbstractArrow$Pickup	net/minecraft/world/entity/projectile/arrow/AbstractArrow$Pickup
net/minecraft/world/entity/projectile/AbstractHurtingProjectile	net/minecraft/world/entity/projectile/hurtingprojectile/AbstractHurtingProjectile
net/minecraft/world/entity/projectile/Arrow	net/minecraft/world/entity/projectile/arrow/Arrow
net/minecraft/world/entity/projectile/DragonFireball	net/minecraft/world/entity/projectile/hurtingprojectile/DragonFireball
net/minecraft/world/entity/projectile/Fireball	net/minecraft/world/entity/projectile/hurtingprojectile/Fireball
net/minecraft/world/entity/projectile/LargeFireball	net/minecraft/world/entity/projectile/hurtingprojectile/LargeFireball
net/minecraft/world/entity/projectile/SmallFireball	net/minecraft/world/entity/projectile/hurtingprojectile/SmallFireball
net/minecraft/world/entity/projectile/Snowball	net/minecraft/world/entity/projectile/throwableitemprojectile/Snowball
net/minecraft/world/entity/projectile/SpectralArrow	net/minecraft/world/entity/projectile/arrow/SpectralArrow
net/minecraft/world/entity/projectile/ThrowableItemProjectile	net/minecraft/world/entity/projectile/throwableitemprojectile/ThrowableItemProjectile
net/minecraft/world/entity/projectile/ThrownEgg	net/minecraft/world/entity/projectile/throwableitemprojectile/ThrownEgg
net/minecraft/world/entity/projectile/ThrownEnderpearl	net/minecraft/world/entity/projectile/throwableitemprojectile/ThrownEnderpearl
net/minecraft/world/entity/projectile/ThrownExperienceBottle	net/minecraft/world/entity/projectile/throwableitemprojectile/ThrownExperienceBottle
net/minecraft/world/entity/projectile/ThrownTrident	net/minecraft/world/entity/projectile/arrow/ThrownTrident
net/minecraft/world/entity/projectile/WitherSkull	net/minecraft/world/entity/projectile/hurtingprojectile/WitherSkull
net/minecraft/world/entity/projectile/windcharge/AbstractWindCharge	net/minecraft/world/entity/projectile/hurtingprojectile/windcharge/AbstractWindCharge
net/minecraft/world/entity/projectile/windcharge/BreezeWindCharge	net/minecraft/world/entity/projectile/hurtingprojectile/windcharge/BreezeWindCharge
net/minecraft/world/entity/projectile/windcharge/WindCharge	net/minecraft/world/entity/projectile/hurtingprojectile/windcharge/WindCharge
net/minecraft/world/entity/schedule/Keyframe	net/minecraft/client/animation/Keyframe
net/minecraft/world/entity/schedule/Timeline	net/minecraft/world/timeline/Timeline
net/minecraft/world/entity/vehicle/AbstractBoat	net/minecraft/world/entity/vehicle/boat/AbstractBoat
net/minecraft/world/entity/vehicle/AbstractBoat$Status	net/minecraft/world/entity/vehicle/boat/AbstractBoat$Status
net/minecraft/world/entity/vehicle/AbstractChestBoat	net/minecraft/world/entity/vehicle/boat/AbstractChestBoat
net/minecraft/world/entity/vehicle/AbstractMinecart	net/minecraft/world/entity/vehicle/minecart/AbstractMinecart
net/minecraft/world/entity/vehicle/AbstractMinecartContainer	net/minecraft/world/entity/vehicle/minecart/AbstractMinecartContainer
net/minecraft/world/entity/vehicle/Boat	net/minecraft/world/entity/vehicle/boat/Boat
net/minecraft/world/entity/vehicle/ChestBoat	net/minecraft/world/entity/vehicle/boat/ChestBoat
net/minecraft/world/entity/vehicle/ChestRaft	net/minecraft/world/entity/vehicle/boat/ChestRaft
net/minecraft/world/entity/vehicle/Minecart	net/minecraft/world/entity/vehicle/minecart/Minecart
net/minecraft/world/entity/vehicle/MinecartBehavior	net/minecraft/world/entity/vehicle/minecart/MinecartBehavior
net/minecraft/world/entity/vehicle/MinecartChest	net/minecraft/world/entity/vehicle/minecart/MinecartChest
net/minecraft/world/entity/vehicle/MinecartCommandBlock	net/minecraft/world/entity/vehicle/minecart/MinecartCommandBlock
net/minecraft/world/entity/vehicle/MinecartCommandBlock$MinecartCommandBase	net/minecraft/world/entity/vehicle/minecart/MinecartCommandBlock$MinecartCommandBase
net/minecraft/world/entity/vehicle/MinecartFurnace	net/minecraft/world/entity/vehicle/minecart/MinecartFurnace
net/minecraft/world/entity/vehicle/MinecartHopper	net/minecraft/world/entity/vehicle/minecart/MinecartHopper
net/minecraft/world/entity/vehicle/MinecartSpawner	net/minecraft/world/entity/vehicle/minecart/MinecartSpawner
net/minecraft/world/entity/vehicle/MinecartSpawner$1	net/minecraft/world/entity/vehicle/minecart/MinecartSpawner$1
net/minecraft/world/entity/vehicle/MinecartTNT	net/minecraft/world/entity/vehicle/minecart/MinecartTNT
net/minecraft/world/entity/vehicle/NewMinecartBehavior	net/minecraft/world/entity/vehicle/minecart/NewMinecartBehavior
net/minecraft/world/entity/vehicle/NewMinecartBehavior$1	net/minecraft/world/entity/vehicle/minecart/NewMinecartBehavior$1
net/minecraft/world/entity/vehicle/NewMinecartBehavior$MinecartStep	net/minecraft/world/entity/vehicle/minecart/NewMinecartBehavior$MinecartStep
net/minecraft/world/entity/vehicle/NewMinecartBehavior$StepPartialTicks	net/minecraft/world/entity/vehicle/minecart/NewMinecartBehavior$StepPartialTicks
net/minecraft/world/entity/vehicle/NewMinecartBehavior$TrackIteration	net/minecraft/world/entity/vehicle/minecart/NewMinecartBehavior$TrackIteration
net/minecraft/world/entity/vehicle/OldMinecartBehavior	net/minecraft/world/entity/vehicle/minecart/OldMinecartBehavior
net/minecraft/world/entity/vehicle/OldMinecartBehavior$1	net/minecraft/world/entity/vehicle/minecart/OldMinecartBehavior$1
net/minecraft/world/entity/vehicle/Raft	net/minecraft/world/entity/vehicle/boat/Raft
net/minecraft/world/level/BlockAndTintGetter	net/minecraft/client/renderer/block/BlockAndTintGetter
net/minecraft/world/level/GameRules	net/minecraft/world/level/gamerules/GameRules
net/minecraft/world/level/GameRules$VisitorCaller	net/minecraft/world/level/gamerules/GameRules$VisitorCaller
net/minecraft/world/level/biome/AmbientAdditionsSettings	net/minecraft/world/attribute/AmbientAdditionsSettings
net/minecraft/world/level/biome/AmbientMoodSettings	net/minecraft/world/attribute/AmbientMoodSettings

# ResourceLocation → Identifier renames in 26.1
net/minecraft/resources/ResourceLocation	net/minecraft/resources/Identifier
net/minecraft/ResourceLocationException	net/minecraft/IdentifierException
net/minecraft/commands/arguments/ResourceLocationArgument	net/minecraft/commands/arguments/IdentifierArgument
net/minecraft/client/searchtree/ResourceLocationSearchTree	net/minecraft/client/searchtree/IdentifierSearchTree

# Additional systematic renames
net/minecraft/util/ResourceLocationPattern	net/minecraft/util/IdentifierPattern
net/minecraft/client/searchtree/ResourceLocationSearchTree$1	net/minecraft/client/searchtree/IdentifierSearchTree$1
net/minecraft/client/searchtree/ResourceLocationSearchTree$2	net/minecraft/client/searchtree/IdentifierSearchTree$2
net/minecraft/util/parsing/packrat/commands/ResourceLocationParseRule	net/minecraft/util/parsing/packrat/commands/IdentifierParseRule
net/minecraft/advancements/critereon/package-info	net/minecraft/advancements/criterion/package-info
# GuiGraphics → GuiGraphicsExtractor (major 26.1 rename)
net/minecraft/client/gui/GuiGraphics	net/minecraft/client/gui/GuiGraphicsExtractor
net/minecraft/client/gui/GuiGraphics$ScissorStack	net/minecraft/client/gui/GuiGraphicsExtractor$ScissorStack
# GraphicsStatus → GraphicsPreset
net/minecraft/client/GraphicsStatus	net/minecraft/client/GraphicsPreset
# FastColor → ARGB
net/minecraft/util/FastColor	net/minecraft/util/ARGB
net/minecraft/util/FastColor$ARGB32	net/minecraft/util/ARGB
# ResourceLocation$Serializer removed in 26.1 — redirect to Retromod polyfill
net/minecraft/resources/ResourceLocation$Serializer	com/retromod/polyfill/minecraft/IdentifierSerializer
# CycleOption → OptionInstance (removed in 1.19, but intermediary refs still exist)
net/minecraft/client/CycleOption	net/minecraft/client/OptionInstance
net/minecraft/client/CycleOption$OptionSetter	net/minecraft/client/OptionInstance$ValueSet
# SystemToastIds → SystemToastId (plural → singular)
net/minecraft/client/gui/components/toasts/SystemToast$SystemToastIds	net/minecraft/client/gui/components/toasts/SystemToast$SystemToastId
# ChatType$BoundNetwork → ChatType$Bound
net/minecraft/network/chat/ChatType$BoundNetwork	net/minecraft/network/chat/ChatType$Bound
# Button$OnTooltip removed (tooltips now use components directly)
net/minecraft/client/gui/components/Button$OnTooltip	net/minecraft/client/gui/components/Tooltip
# BufferBuilder$RenderedBuffer removed
com/mojang/blaze3d/vertex/BufferBuilder$RenderedBuffer	com/mojang/blaze3d/vertex/ByteBufferBuilder$Result
# Matrix4f moved to JOML
com/mojang/math/Matrix4f	org/joml/Matrix4f
# GuiComponent removed — redirect to GuiGraphicsExtractor (closest equivalent)
net/minecraft/client/gui/GuiComponent	net/minecraft/client/gui/GuiGraphicsExtractor
# EnchantedBookItem removed (enchantments now component-based)
net/minecraft/world/item/EnchantedBookItem	net/minecraft/world/item/Items
# RecordItem → JukeboxPlayable (component-based in 1.21+)
net/minecraft/world/item/RecordItem	net/minecraft/world/item/JukeboxSong
# DirectionProperty is now just EnumProperty
net/minecraft/world/level/block/state/properties/DirectionProperty	net/minecraft/world/level/block/state/properties/EnumProperty
# LazyLoadedValue was deprecated (use Suppliers.memoize), NOT renamed to Unit
# Keep it as-is — if it doesn't exist in 26.1, a polyfill should handle it
# net/minecraft/util/LazyLoadedValue	DO_NOT_REMAP
# ClickType → ClickAction
net/minecraft/world/inventory/ClickType	net/minecraft/world/inventory/ClickAction
# CompiledShaderProgram → ShaderManager (shader system redesigned)
net/minecraft/client/renderer/CompiledShaderProgram	net/minecraft/client/renderer/ShaderManager

# 26.1 Weighted* class consolidation. Mojang unified WeightedRandomList
# and SimpleWeightedRandomList into net/minecraft/util/random/WeightedList.
# Inner classes repackaged under WeightedList$Builder etc. Without these
# moves old mods (Lithium, Architectury, etc.) hit NoClassDefFoundError at
# runtime when they try to reference the old class names.
net/minecraft/util/random/WeightedRandomList	net/minecraft/util/random/WeightedList
net/minecraft/util/random/WeightedRandomList$WeightedEntry	net/minecraft/util/random/Weighted
net/minecraft/util/random/SimpleWeightedRandomList	net/minecraft/util/random/WeightedList
net/minecraft/util/random/SimpleWeightedRandomList$Builder	net/minecraft/util/random/WeightedList$Builder

# =========================================================================
# HARVESTED MOVES — 1.20.1 → 26.1.2 (added programmatically)
# -------------------------------------------------------------------------
# Composed by diffing this environment's MC 1.20.1 official class names
# (from Mojang client/server mappings) against the 26.1.2 client jar's
# real (unobfuscated) class names, then matching moved classes by simple
# name. Each entry was confirmed real by EITHER belonging to a systematic
# package-relocation cluster (>=3 classes moving the same package together)
# OR >=50% member-name overlap (1.20.1 mappings vs 26.1.2 bytecode) OR a
# move into the class's own sub-package. 6 ambiguous cross-domain singletons
# were deliberately left out pending review. These fill gaps the original
# hand-curated list missed (e.g. options screens -> screens/options, game
# packets -> protocol/common, data-gen models -> client/data/models).
# 70 entries.
# =========================================================================
net/minecraft/client/ParticleStatus	net/minecraft/server/level/ParticleStatus
net/minecraft/client/RecipeBookCategories	net/minecraft/world/item/crafting/RecipeBookCategories
net/minecraft/client/gui/screens/AccessibilityOptionsScreen	net/minecraft/client/gui/screens/options/AccessibilityOptionsScreen
net/minecraft/client/gui/screens/ChatOptionsScreen	net/minecraft/client/gui/screens/options/ChatOptionsScreen
net/minecraft/client/gui/screens/LanguageSelectScreen	net/minecraft/client/gui/screens/options/LanguageSelectScreen
net/minecraft/client/gui/screens/LanguageSelectScreen$LanguageSelectionList	net/minecraft/client/gui/screens/options/LanguageSelectScreen$LanguageSelectionList
net/minecraft/client/gui/screens/LanguageSelectScreen$LanguageSelectionList$Entry	net/minecraft/client/gui/screens/options/LanguageSelectScreen$LanguageSelectionList$Entry
net/minecraft/client/gui/screens/MouseSettingsScreen	net/minecraft/client/gui/screens/options/MouseSettingsScreen
net/minecraft/client/gui/screens/OnlineOptionsScreen	net/minecraft/client/gui/screens/options/OnlineOptionsScreen
net/minecraft/client/gui/screens/OptionsScreen	net/minecraft/client/gui/screens/options/OptionsScreen
net/minecraft/client/gui/screens/OptionsSubScreen	net/minecraft/client/gui/screens/options/OptionsSubScreen
net/minecraft/client/gui/screens/SkinCustomizationScreen	net/minecraft/client/gui/screens/options/SkinCustomizationScreen
net/minecraft/client/gui/screens/SoundOptionsScreen	net/minecraft/client/gui/screens/options/SoundOptionsScreen
net/minecraft/client/gui/screens/VideoSettingsScreen	net/minecraft/client/gui/screens/options/VideoSettingsScreen
net/minecraft/client/gui/screens/controls/ControlsScreen	net/minecraft/client/gui/screens/options/controls/ControlsScreen
net/minecraft/client/gui/screens/controls/KeyBindsList	net/minecraft/client/gui/screens/options/controls/KeyBindsList
net/minecraft/client/gui/screens/controls/KeyBindsList$CategoryEntry	net/minecraft/client/gui/screens/options/controls/KeyBindsList$CategoryEntry
net/minecraft/client/gui/screens/controls/KeyBindsList$Entry	net/minecraft/client/gui/screens/options/controls/KeyBindsList$Entry
net/minecraft/client/gui/screens/controls/KeyBindsList$KeyEntry	net/minecraft/client/gui/screens/options/controls/KeyBindsList$KeyEntry
net/minecraft/client/gui/screens/controls/KeyBindsScreen	net/minecraft/client/gui/screens/options/controls/KeyBindsScreen
net/minecraft/client/resources/DownloadedPackSource	net/minecraft/client/resources/server/DownloadedPackSource
net/minecraft/commands/CommandFunction	net/minecraft/commands/functions/CommandFunction
net/minecraft/core/BlockSource	net/minecraft/core/dispenser/BlockSource
net/minecraft/data/models/BlockModelGenerators	net/minecraft/client/data/models/BlockModelGenerators
net/minecraft/data/models/BlockModelGenerators$1	net/minecraft/client/data/models/BlockModelGenerators$1
net/minecraft/data/models/BlockModelGenerators$BlockFamilyProvider	net/minecraft/client/data/models/BlockModelGenerators$BlockFamilyProvider
net/minecraft/data/models/BlockModelGenerators$BlockStateGeneratorSupplier	net/minecraft/client/data/models/BlockModelGenerators$BlockStateGeneratorSupplier
net/minecraft/data/models/BlockModelGenerators$BookSlotModelCacheKey	net/minecraft/client/data/models/BlockModelGenerators$BookSlotModelCacheKey
net/minecraft/data/models/BlockModelGenerators$WoodProvider	net/minecraft/client/data/models/BlockModelGenerators$WoodProvider
net/minecraft/data/models/ItemModelGenerators	net/minecraft/client/data/models/ItemModelGenerators
net/minecraft/data/models/ModelProvider	net/minecraft/client/data/models/ModelProvider
net/minecraft/data/models/blockstates/MultiPartGenerator	net/minecraft/client/data/models/blockstates/MultiPartGenerator
net/minecraft/data/models/blockstates/MultiPartGenerator$Entry	net/minecraft/client/data/models/blockstates/MultiPartGenerator$Entry
net/minecraft/data/models/blockstates/MultiVariantGenerator	net/minecraft/client/data/models/blockstates/MultiVariantGenerator
net/minecraft/data/models/blockstates/PropertyDispatch	net/minecraft/client/data/models/blockstates/PropertyDispatch
net/minecraft/data/models/blockstates/PropertyDispatch$C1	net/minecraft/client/data/models/blockstates/PropertyDispatch$C1
net/minecraft/data/models/blockstates/PropertyDispatch$C2	net/minecraft/client/data/models/blockstates/PropertyDispatch$C2
net/minecraft/data/models/blockstates/PropertyDispatch$C3	net/minecraft/client/data/models/blockstates/PropertyDispatch$C3
net/minecraft/data/models/blockstates/PropertyDispatch$C4	net/minecraft/client/data/models/blockstates/PropertyDispatch$C4
net/minecraft/data/models/blockstates/PropertyDispatch$C5	net/minecraft/client/data/models/blockstates/PropertyDispatch$C5
net/minecraft/data/models/model/DelegatedModel	net/minecraft/client/data/models/model/DelegatedModel
net/minecraft/data/models/model/ModelLocationUtils	net/minecraft/client/data/models/model/ModelLocationUtils
net/minecraft/data/models/model/ModelTemplate	net/minecraft/client/data/models/model/ModelTemplate
net/minecraft/data/models/model/ModelTemplates	net/minecraft/client/data/models/model/ModelTemplates
net/minecraft/data/models/model/TextureMapping	net/minecraft/client/data/models/model/TextureMapping
net/minecraft/data/models/model/TextureSlot	net/minecraft/client/data/models/model/TextureSlot
net/minecraft/data/models/model/TexturedModel	net/minecraft/client/data/models/model/TexturedModel
net/minecraft/data/models/model/TexturedModel$Provider	net/minecraft/client/data/models/model/TexturedModel$Provider
net/minecraft/network/protocol/game/ClientboundCustomPayloadPacket	net/minecraft/network/protocol/common/ClientboundCustomPayloadPacket
net/minecraft/network/protocol/game/ClientboundDisconnectPacket	net/minecraft/network/protocol/common/ClientboundDisconnectPacket
net/minecraft/network/protocol/game/ClientboundKeepAlivePacket	net/minecraft/network/protocol/common/ClientboundKeepAlivePacket
net/minecraft/network/protocol/game/ClientboundPingPacket	net/minecraft/network/protocol/common/ClientboundPingPacket
net/minecraft/network/protocol/game/ClientboundUpdateEnabledFeaturesPacket	net/minecraft/network/protocol/configuration/ClientboundUpdateEnabledFeaturesPacket
net/minecraft/network/protocol/game/ClientboundUpdateTagsPacket	net/minecraft/network/protocol/common/ClientboundUpdateTagsPacket
net/minecraft/network/protocol/game/ServerboundClientInformationPacket	net/minecraft/network/protocol/common/ServerboundClientInformationPacket
net/minecraft/network/protocol/game/ServerboundCustomPayloadPacket	net/minecraft/network/protocol/common/ServerboundCustomPayloadPacket
net/minecraft/network/protocol/game/ServerboundKeepAlivePacket	net/minecraft/network/protocol/common/ServerboundKeepAlivePacket
net/minecraft/network/protocol/game/ServerboundPongPacket	net/minecraft/network/protocol/common/ServerboundPongPacket
net/minecraft/network/protocol/game/ServerboundResourcePackPacket	net/minecraft/network/protocol/common/ServerboundResourcePackPacket
net/minecraft/network/protocol/game/ServerboundResourcePackPacket$Action	net/minecraft/network/protocol/common/ServerboundResourcePackPacket$Action
net/minecraft/network/protocol/status/ClientboundPongResponsePacket	net/minecraft/network/protocol/ping/ClientboundPongResponsePacket
net/minecraft/network/protocol/status/ServerboundPingRequestPacket	net/minecraft/network/protocol/ping/ServerboundPingRequestPacket
net/minecraft/world/item/ArmorMaterial	net/minecraft/world/item/equipment/ArmorMaterial
net/minecraft/world/item/ArmorMaterials	net/minecraft/world/item/equipment/ArmorMaterials
net/minecraft/world/item/armortrim/ArmorTrim	net/minecraft/world/item/equipment/trim/ArmorTrim
net/minecraft/world/item/armortrim/TrimMaterial	net/minecraft/world/item/equipment/trim/TrimMaterial
net/minecraft/world/item/armortrim/TrimMaterials	net/minecraft/world/item/equipment/trim/TrimMaterials
net/minecraft/world/item/armortrim/TrimPattern	net/minecraft/world/item/equipment/trim/TrimPattern
net/minecraft/world/item/armortrim/TrimPatterns	net/minecraft/world/item/equipment/trim/TrimPatterns
net/minecraft/world/level/chunk/ChunkStatus	net/minecraft/world/level/chunk/status/ChunkStatus

# =========================================================================
# HARVESTED MOVES — 1.16.5 → 26.1.2 (added programmatically)
# -------------------------------------------------------------------------
# Same method as the 1.20.1 block above, but baselined on MC 1.16.5 — the
# oldest non-experimental version Retromod targets, so 1.16.5-era mods get
# the same move coverage as newer ones. Diffed 1.16.5 official class names
# vs the 26.1.2 client jar, matched by simple name, kept only moves confirmed
# by a >=3-class package cluster, >=50% member overlap, or a same-subtree
# move. 14 coincidental simple-name collisions were rejected (e.g. tags/Tag
# vs nbt/Tag, block material/Material vs sprite Material). Largest clusters:
# worldgen structure classes -> structure/structures and -> structure/pools.
# 98 entries.
# =========================================================================
net/minecraft/Util$3	net/minecraft/util/Util$3
net/minecraft/Util$4	net/minecraft/util/Util$4
net/minecraft/client/multiplayer/ServerAddress	net/minecraft/client/multiplayer/resolver/ServerAddress
net/minecraft/network/chat/TranslatableFormatException	net/minecraft/network/chat/contents/TranslatableFormatException
net/minecraft/util/UniformInt	net/minecraft/util/valueproviders/UniformInt
net/minecraft/world/level/TickPriority	net/minecraft/world/ticks/TickPriority
net/minecraft/world/level/levelgen/feature/StructurePieceType	net/minecraft/world/level/levelgen/structure/pieces/StructurePieceType
net/minecraft/world/level/levelgen/feature/structures/EmptyPoolElement	net/minecraft/world/level/levelgen/structure/pools/EmptyPoolElement
net/minecraft/world/level/levelgen/feature/structures/FeaturePoolElement	net/minecraft/world/level/levelgen/structure/pools/FeaturePoolElement
net/minecraft/world/level/levelgen/feature/structures/JigsawJunction	net/minecraft/world/level/levelgen/structure/pools/JigsawJunction
net/minecraft/world/level/levelgen/feature/structures/JigsawPlacement	net/minecraft/world/level/levelgen/structure/pools/JigsawPlacement
net/minecraft/world/level/levelgen/feature/structures/JigsawPlacement$PieceState	net/minecraft/world/level/levelgen/structure/pools/JigsawPlacement$PieceState
net/minecraft/world/level/levelgen/feature/structures/JigsawPlacement$Placer	net/minecraft/world/level/levelgen/structure/pools/JigsawPlacement$Placer
net/minecraft/world/level/levelgen/feature/structures/LegacySinglePoolElement	net/minecraft/world/level/levelgen/structure/pools/LegacySinglePoolElement
net/minecraft/world/level/levelgen/feature/structures/ListPoolElement	net/minecraft/world/level/levelgen/structure/pools/ListPoolElement
net/minecraft/world/level/levelgen/feature/structures/SinglePoolElement	net/minecraft/world/level/levelgen/structure/pools/SinglePoolElement
net/minecraft/world/level/levelgen/feature/structures/StructurePoolElement	net/minecraft/world/level/levelgen/structure/pools/StructurePoolElement
net/minecraft/world/level/levelgen/feature/structures/StructurePoolElementType	net/minecraft/world/level/levelgen/structure/pools/StructurePoolElementType
net/minecraft/world/level/levelgen/feature/structures/StructureTemplatePool	net/minecraft/world/level/levelgen/structure/pools/StructureTemplatePool
net/minecraft/world/level/levelgen/feature/structures/StructureTemplatePool$Projection	net/minecraft/world/level/levelgen/structure/pools/StructureTemplatePool$Projection
net/minecraft/world/level/levelgen/structure/BuriedTreasurePieces	net/minecraft/world/level/levelgen/structure/structures/BuriedTreasurePieces
net/minecraft/world/level/levelgen/structure/BuriedTreasurePieces$BuriedTreasurePiece	net/minecraft/world/level/levelgen/structure/structures/BuriedTreasurePieces$BuriedTreasurePiece
net/minecraft/world/level/levelgen/structure/DesertPyramidPiece	net/minecraft/world/level/levelgen/structure/structures/DesertPyramidPiece
net/minecraft/world/level/levelgen/structure/EndCityPieces	net/minecraft/world/level/levelgen/structure/structures/EndCityPieces
net/minecraft/world/level/levelgen/structure/EndCityPieces$1	net/minecraft/world/level/levelgen/structure/structures/EndCityPieces$1
net/minecraft/world/level/levelgen/structure/EndCityPieces$2	net/minecraft/world/level/levelgen/structure/structures/EndCityPieces$2
net/minecraft/world/level/levelgen/structure/EndCityPieces$3	net/minecraft/world/level/levelgen/structure/structures/EndCityPieces$3
net/minecraft/world/level/levelgen/structure/EndCityPieces$4	net/minecraft/world/level/levelgen/structure/structures/EndCityPieces$4
net/minecraft/world/level/levelgen/structure/EndCityPieces$EndCityPiece	net/minecraft/world/level/levelgen/structure/structures/EndCityPieces$EndCityPiece
net/minecraft/world/level/levelgen/structure/EndCityPieces$SectionGenerator	net/minecraft/world/level/levelgen/structure/structures/EndCityPieces$SectionGenerator
net/minecraft/world/level/levelgen/structure/IglooPieces	net/minecraft/world/level/levelgen/structure/structures/IglooPieces
net/minecraft/world/level/levelgen/structure/IglooPieces$IglooPiece	net/minecraft/world/level/levelgen/structure/structures/IglooPieces$IglooPiece
net/minecraft/world/level/levelgen/structure/NetherFossilPieces	net/minecraft/world/level/levelgen/structure/structures/NetherFossilPieces
net/minecraft/world/level/levelgen/structure/NetherFossilPieces$NetherFossilPiece	net/minecraft/world/level/levelgen/structure/structures/NetherFossilPieces$NetherFossilPiece
net/minecraft/world/level/levelgen/structure/OceanMonumentPieces	net/minecraft/world/level/levelgen/structure/structures/OceanMonumentPieces
net/minecraft/world/level/levelgen/structure/OceanMonumentPieces$1	net/minecraft/world/level/levelgen/structure/structures/OceanMonumentPieces$1
net/minecraft/world/level/levelgen/structure/OceanMonumentPieces$FitDoubleXRoom	net/minecraft/world/level/levelgen/structure/structures/OceanMonumentPieces$FitDoubleXRoom
net/minecraft/world/level/levelgen/structure/OceanMonumentPieces$FitDoubleXYRoom	net/minecraft/world/level/levelgen/structure/structures/OceanMonumentPieces$FitDoubleXYRoom
net/minecraft/world/level/levelgen/structure/OceanMonumentPieces$FitDoubleYRoom	net/minecraft/world/level/levelgen/structure/structures/OceanMonumentPieces$FitDoubleYRoom
net/minecraft/world/level/levelgen/structure/OceanMonumentPieces$FitDoubleYZRoom	net/minecraft/world/level/levelgen/structure/structures/OceanMonumentPieces$FitDoubleYZRoom
net/minecraft/world/level/levelgen/structure/OceanMonumentPieces$FitDoubleZRoom	net/minecraft/world/level/levelgen/structure/structures/OceanMonumentPieces$FitDoubleZRoom
net/minecraft/world/level/levelgen/structure/OceanMonumentPieces$FitSimpleRoom	net/minecraft/world/level/levelgen/structure/structures/OceanMonumentPieces$FitSimpleRoom
net/minecraft/world/level/levelgen/structure/OceanMonumentPieces$FitSimpleTopRoom	net/minecraft/world/level/levelgen/structure/structures/OceanMonumentPieces$FitSimpleTopRoom
net/minecraft/world/level/levelgen/structure/OceanMonumentPieces$MonumentBuilding	net/minecraft/world/level/levelgen/structure/structures/OceanMonumentPieces$MonumentBuilding
net/minecraft/world/level/levelgen/structure/OceanMonumentPieces$MonumentRoomFitter	net/minecraft/world/level/levelgen/structure/structures/OceanMonumentPieces$MonumentRoomFitter
net/minecraft/world/level/levelgen/structure/OceanMonumentPieces$OceanMonumentCoreRoom	net/minecraft/world/level/levelgen/structure/structures/OceanMonumentPieces$OceanMonumentCoreRoom
net/minecraft/world/level/levelgen/structure/OceanMonumentPieces$OceanMonumentDoubleXRoom	net/minecraft/world/level/levelgen/structure/structures/OceanMonumentPieces$OceanMonumentDoubleXRoom
net/minecraft/world/level/levelgen/structure/OceanMonumentPieces$OceanMonumentDoubleXYRoom	net/minecraft/world/level/levelgen/structure/structures/OceanMonumentPieces$OceanMonumentDoubleXYRoom
net/minecraft/world/level/levelgen/structure/OceanMonumentPieces$OceanMonumentDoubleYRoom	net/minecraft/world/level/levelgen/structure/structures/OceanMonumentPieces$OceanMonumentDoubleYRoom
net/minecraft/world/level/levelgen/structure/OceanMonumentPieces$OceanMonumentDoubleYZRoom	net/minecraft/world/level/levelgen/structure/structures/OceanMonumentPieces$OceanMonumentDoubleYZRoom
net/minecraft/world/level/levelgen/structure/OceanMonumentPieces$OceanMonumentDoubleZRoom	net/minecraft/world/level/levelgen/structure/structures/OceanMonumentPieces$OceanMonumentDoubleZRoom
net/minecraft/world/level/levelgen/structure/OceanMonumentPieces$OceanMonumentEntryRoom	net/minecraft/world/level/levelgen/structure/structures/OceanMonumentPieces$OceanMonumentEntryRoom
net/minecraft/world/level/levelgen/structure/OceanMonumentPieces$OceanMonumentPenthouse	net/minecraft/world/level/levelgen/structure/structures/OceanMonumentPieces$OceanMonumentPenthouse
net/minecraft/world/level/levelgen/structure/OceanMonumentPieces$OceanMonumentPiece	net/minecraft/world/level/levelgen/structure/structures/OceanMonumentPieces$OceanMonumentPiece
